test_id,category,old_type,new_type,algorithm,expected,row_count,ddl_duration,dml_ops,dml_errors,pre_ddl_qps,during_ddl_qps,ddl_qps_drop_pct,verification,details
LT-VAR63-64U4-IP,varchar,VARCHAR(63),VARCHAR(64),INPLACE,,100000,0.33,1130,0,95.7,97.1,-1.5,PASS,"{""test_id"": ""LT-VAR63-64U4-IP"", ""category"": ""varchar"", ""old_type"": ""VARCHAR(63)"", ""new_type"": ""VARCHAR(64)"", ""algorithm"": ""INPLACE"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 1949725356)"", ""t2"": ""('ddl_test.t_large_oracle', 1949725356)""}, ""ddl"": {""success"": true, ""duration"": 0.33, ""error"": null, ""algorithm"": ""INPLACE""}, ""dml_ops"": 1130, ""dml_errors"": 0, ""dml_breakdown"": {""INSERT"": {""ops"": 236, ""errors"": 0}, ""UPDATE"": {""ops"": 108, ""errors"": 0}, ""DELE"
LT-VAR63-64U4-IT,varchar,VARCHAR(63),VARCHAR(64),INSTANT,,100000,0.06,1025,0,88.8,92.8,-4.5,PASS,"{""test_id"": ""LT-VAR63-64U4-IT"", ""category"": ""varchar"", ""old_type"": ""VARCHAR(63)"", ""new_type"": ""VARCHAR(64)"", ""algorithm"": ""INSTANT"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 936256736)"", ""t2"": ""('ddl_test.t_large_oracle', 936256736)""}, ""ddl"": {""success"": true, ""duration"": 0.06, ""error"": null, ""algorithm"": ""INSTANT""}, ""dml_ops"": 1025, ""dml_errors"": 0, ""dml_breakdown"": {""INSERT"": {""ops"": 266, ""errors"": 0}, ""UPDATE"": {""ops"": 106, ""errors"": 0}, ""DELETE"
LT-VAR100-200-IP,varchar,VARCHAR(100),VARCHAR(200),INPLACE,,100000,0.08,1130,0,100.2,109.3,-9.1,PASS,"{""test_id"": ""LT-VAR100-200-IP"", ""category"": ""varchar"", ""old_type"": ""VARCHAR(100)"", ""new_type"": ""VARCHAR(200)"", ""algorithm"": ""INPLACE"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 1949725356)"", ""t2"": ""('ddl_test.t_large_oracle', 1949725356)""}, ""ddl"": {""success"": true, ""duration"": 0.08, ""error"": null, ""algorithm"": ""INPLACE""}, ""dml_ops"": 1130, ""dml_errors"": 0, ""dml_breakdown"": {""INSERT"": {""ops"": 269, ""errors"": 0}, ""UPDATE"": {""ops"": 103, ""errors"": 0}, ""DE"
LT-VAR100-200-IT,varchar,VARCHAR(100),VARCHAR(200),INSTANT,,100000,0.05,1047,0,89.5,93.7,-4.7,PASS,"{""test_id"": ""LT-VAR100-200-IT"", ""category"": ""varchar"", ""old_type"": ""VARCHAR(100)"", ""new_type"": ""VARCHAR(200)"", ""algorithm"": ""INSTANT"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 936256736)"", ""t2"": ""('ddl_test.t_large_oracle', 936256736)""}, ""ddl"": {""success"": true, ""duration"": 0.05, ""error"": null, ""algorithm"": ""INSTANT""}, ""dml_ops"": 1047, ""dml_errors"": 0, ""dml_breakdown"": {""INSERT"": {""ops"": 234, ""errors"": 0}, ""UPDATE"": {""ops"": 107, ""errors"": 0}, ""DELE"
LT-BIN10-20-IP,binary,BINARY(10),BINARY(20),INPLACE,,100000,0.3,1193,0,99.3,107.8,-8.6,PASS,"{""test_id"": ""LT-BIN10-20-IP"", ""category"": ""binary"", ""old_type"": ""BINARY(10)"", ""new_type"": ""BINARY(20)"", ""algorithm"": ""INPLACE"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 3301159962)"", ""t2"": ""('ddl_test.t_large_oracle', 1678466407)""}, ""ddl"": {""success"": true, ""duration"": 0.3, ""error"": null, ""algorithm"": ""INPLACE""}, ""dml_ops"": 1193, ""dml_errors"": 0, ""dml_breakdown"": {""INSERT"": {""ops"": 258, ""errors"": 0}, ""UPDATE"": {""ops"": 110, ""errors"": 0}, ""DELETE"": {"
LT-BIN10-20-IT,binary,BINARY(10),BINARY(20),INSTANT,,100000,0.07,1018,0,88.4,93.8,-6.1,PASS,"{""test_id"": ""LT-BIN10-20-IT"", ""category"": ""binary"", ""old_type"": ""BINARY(10)"", ""new_type"": ""BINARY(20)"", ""algorithm"": ""INSTANT"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 2511984840)"", ""t2"": ""('ddl_test.t_large_oracle', 3050552753)""}, ""ddl"": {""success"": true, ""duration"": 0.07, ""error"": null, ""algorithm"": ""INSTANT""}, ""dml_ops"": 1018, ""dml_errors"": 0, ""dml_breakdown"": {""INSERT"": {""ops"": 245, ""errors"": 0}, ""UPDATE"": {""ops"": 104, ""errors"": 0}, ""DELETE"": "
LT-BIN40-80-IP,binary,BINARY(40),BINARY(80),INPLACE,,100000,0.45,1213,0,98.3,105.3,-7.1,PASS,"{""test_id"": ""LT-BIN40-80-IP"", ""category"": ""binary"", ""old_type"": ""BINARY(40)"", ""new_type"": ""BINARY(80)"", ""algorithm"": ""INPLACE"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 3899345809)"", ""t2"": ""('ddl_test.t_large_oracle', 1676514588)""}, ""ddl"": {""success"": true, ""duration"": 0.45, ""error"": null, ""algorithm"": ""INPLACE""}, ""dml_ops"": 1213, ""dml_errors"": 0, ""dml_breakdown"": {""INSERT"": {""ops"": 241, ""errors"": 0}, ""UPDATE"": {""ops"": 108, ""errors"": 0}, ""DELETE"": "
LT-VBIN20-40-IP,varbinary,VARBINARY(20),VARBINARY(40),INPLACE,,100000,0.05,1133,0,98.3,101.0,-2.7,PASS,"{""test_id"": ""LT-VBIN20-40-IP"", ""category"": ""varbinary"", ""old_type"": ""VARBINARY(20)"", ""new_type"": ""VARBINARY(40)"", ""algorithm"": ""INPLACE"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 1778005577)"", ""t2"": ""('ddl_test.t_large_oracle', 1778005577)""}, ""ddl"": {""success"": true, ""duration"": 0.05, ""error"": null, ""algorithm"": ""INPLACE""}, ""dml_ops"": 1133, ""dml_errors"": 0, ""dml_breakdown"": {""INSERT"": {""ops"": 268, ""errors"": 0}, ""UPDATE"": {""ops"": 106, ""errors"": 0}, "
LT-VBIN20-40-IT,varbinary,VARBINARY(20),VARBINARY(40),INSTANT,,100000,0.05,1034,0,92.8,76.2,17.9,PASS,"{""test_id"": ""LT-VBIN20-40-IT"", ""category"": ""varbinary"", ""old_type"": ""VARBINARY(20)"", ""new_type"": ""VARBINARY(40)"", ""algorithm"": ""INSTANT"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 2860400797)"", ""t2"": ""('ddl_test.t_large_oracle', 2860400797)""}, ""ddl"": {""success"": true, ""duration"": 0.05, ""error"": null, ""algorithm"": ""INSTANT""}, ""dml_ops"": 1034, ""dml_errors"": 0, ""dml_breakdown"": {""INSERT"": {""ops"": 235, ""errors"": 0}, ""UPDATE"": {""ops"": 103, ""errors"": 0}, "
LT-VBIN100-200-IP,varbinary,VARBINARY(100),VARBINARY(200),INPLACE,,100000,0.07,1089,0,96.2,106.0,-10.2,PASS,"{""test_id"": ""LT-VBIN100-200-IP"", ""category"": ""varbinary"", ""old_type"": ""VARBINARY(100)"", ""new_type"": ""VARBINARY(200)"", ""algorithm"": ""INPLACE"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 384097387)"", ""t2"": ""('ddl_test.t_large_oracle', 384097387)""}, ""ddl"": {""success"": true, ""duration"": 0.07, ""error"": null, ""algorithm"": ""INPLACE""}, ""dml_ops"": 1089, ""dml_errors"": 0, ""dml_breakdown"": {""INSERT"": {""ops"": 236, ""errors"": 0}, ""UPDATE"": {""ops"": 106, ""errors"": 0}"
LT-DEC10-12-IP,decimal,"DECIMAL(10,2)","DECIMAL(12,2)",INPLACE,,100000,0.04,1099,99,100.7,107.5,-6.8,PASS,"{""test_id"": ""LT-DEC10-12-IP"", ""category"": ""decimal"", ""old_type"": ""DECIMAL(10,2)"", ""new_type"": ""DECIMAL(12,2)"", ""algorithm"": ""INPLACE"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 3961006806)"", ""t2"": ""('ddl_test.t_large_oracle', 1830970871)""}, ""ddl"": {""success"": false, ""duration"": 0.04, ""error"": ""(1846, 'ALGORITHM=INPLACE is not supported. Reason: Cannot change column type INPLACE. Try ALGORITHM=COPY.')"", ""algorithm"": ""INPLACE""}, ""dml_ops"": 1099, ""dml_"
LT-DEC10-12-IT,decimal,"DECIMAL(10,2)","DECIMAL(12,2)",INSTANT,,100000,0.05,979,83,87.8,92.8,-5.7,PASS,"{""test_id"": ""LT-DEC10-12-IT"", ""category"": ""decimal"", ""old_type"": ""DECIMAL(10,2)"", ""new_type"": ""DECIMAL(12,2)"", ""algorithm"": ""INSTANT"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 2582922382)"", ""t2"": ""('ddl_test.t_large_oracle', 1064545741)""}, ""ddl"": {""success"": false, ""duration"": 0.05, ""error"": ""(1846, 'ALGORITHM=INSTANT is not supported. Reason: Need to rebuild the table to change column type. Try ALGORITHM=COPY/INPLACE.')"", ""algorithm"": ""INSTANT""}, "
LT-DEC18-20-IP,decimal,"DECIMAL(18,0)","DECIMAL(20,0)",INPLACE,,100000,0.04,1106,89,98.5,109.9,-11.6,PASS,"{""test_id"": ""LT-DEC18-20-IP"", ""category"": ""decimal"", ""old_type"": ""DECIMAL(18,0)"", ""new_type"": ""DECIMAL(20,0)"", ""algorithm"": ""INPLACE"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 264726542)"", ""t2"": ""('ddl_test.t_large_oracle', 967736906)""}, ""ddl"": {""success"": false, ""duration"": 0.04, ""error"": ""(1846, 'ALGORITHM=INPLACE is not supported. Reason: Cannot change column type INPLACE. Try ALGORITHM=COPY.')"", ""algorithm"": ""INPLACE""}, ""dml_ops"": 1106, ""dml_er"
LT-DEC1-2-IT,decimal,"DECIMAL(1,0)","DECIMAL(2,0)",INSTANT,,100000,0.05,975,66,86.4,95.0,-10.0,PASS,"{""test_id"": ""LT-DEC1-2-IT"", ""category"": ""decimal"", ""old_type"": ""DECIMAL(1,0)"", ""new_type"": ""DECIMAL(2,0)"", ""algorithm"": ""INSTANT"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 1507218005)"", ""t2"": ""('ddl_test.t_large_oracle', 1507218005)""}, ""ddl"": {""success"": false, ""duration"": 0.05, ""error"": ""(1846, 'ALGORITHM=INSTANT is not supported. Reason: Need to rebuild the table to change column type. Try ALGORITHM=COPY/INPLACE.')"", ""algorithm"": ""INSTANT""}, ""dml"
LT-DEC6430-6530-IP,decimal,"DECIMAL(64,30)","DECIMAL(65,30)",INPLACE,,0,0.04,1023,85,93.8,94.3,-0.5,PASS,"{""test_id"": ""LT-DEC6430-6530-IP"", ""category"": ""decimal"", ""old_type"": ""DECIMAL(64,30)"", ""new_type"": ""DECIMAL(65,30)"", ""algorithm"": ""INPLACE"", ""target_rows"": 100000, ""row_count"": 0, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 0)"", ""t2"": ""('ddl_test.t_large_oracle', 0)""}, ""ddl"": {""success"": false, ""duration"": 0.04, ""error"": ""(1846, 'ALGORITHM=INPLACE is not supported. Reason: Cannot change column type INPLACE. Try ALGORITHM=COPY.')"", ""algorithm"": ""INPLACE""}, ""dml_ops"": 1023, ""dml_errors"": 85, ""dml"
LT-TEXT-T-IP,text,TINYTEXT,TEXT,INPLACE,,,,,,,,,,"{""test_id"": ""LT-TEXT-T-IP"", ""category"": ""text"", ""old_type"": ""TINYTEXT"", ""new_type"": ""TEXT"", ""algorithm"": ""INPLACE"", ""target_rows"": 100000, ""error"": ""CREATE t1 failed: (1071, 'Specified key was too long; max key length is 255 bytes')""}"
LT-TEXT-T-IT,text,TINYTEXT,TEXT,INSTANT,,100000,0.04,873,77,76.8,84.7,-10.3,PASS,"{""test_id"": ""LT-TEXT-T-IT"", ""category"": ""text"", ""old_type"": ""TINYTEXT"", ""new_type"": ""TEXT"", ""algorithm"": ""INSTANT"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 1946709309)"", ""t2"": ""('ddl_test.t_large_oracle', 1946709309)""}, ""ddl"": {""success"": false, ""duration"": 0.04, ""error"": ""(1846, 'ALGORITHM=INSTANT is not supported. Reason: Need to rebuild the table to change column type. Try ALGORITHM=COPY/INPLACE.')"", ""algorithm"": ""INSTANT""}, ""dml_ops"": 873, ""dm"
LT-TEXT-MT-IP,text,TEXT,MEDIUMTEXT,INPLACE,,100000,0.04,913,0,77.3,85.3,-10.3,PASS,"{""test_id"": ""LT-TEXT-MT-IP"", ""category"": ""text"", ""old_type"": ""TEXT"", ""new_type"": ""MEDIUMTEXT"", ""algorithm"": ""INPLACE"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 1946709309)"", ""t2"": ""('ddl_test.t_large_oracle', 1946709309)""}, ""ddl"": {""success"": false, ""duration"": 0.04, ""error"": ""(1846, 'ALGORITHM=INPLACE is not supported. Reason: Cannot change column type INPLACE. Try ALGORITHM=COPY.')"", ""algorithm"": ""INPLACE""}, ""dml_ops"": 913, ""dml_errors"": 0, ""dml_"
LT-TEXT-MT-IT,text,TEXT,MEDIUMTEXT,INSTANT,,100000,0.04,947,0,81.2,88.3,-8.7,PASS,"{""test_id"": ""LT-TEXT-MT-IT"", ""category"": ""text"", ""old_type"": ""TEXT"", ""new_type"": ""MEDIUMTEXT"", ""algorithm"": ""INSTANT"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 1946709309)"", ""t2"": ""('ddl_test.t_large_oracle', 1946709309)""}, ""ddl"": {""success"": false, ""duration"": 0.04, ""error"": ""(1846, 'ALGORITHM=INSTANT is not supported. Reason: Need to rebuild the table to change column type. Try ALGORITHM=COPY/INPLACE.')"", ""algorithm"": ""INSTANT""}, ""dml_ops"": 947, "
LT-TEXT-ML-IP,text,MEDIUMTEXT,LONGTEXT,INPLACE,,100000,0.13,880,0,78.7,83.5,-6.1,PASS,"{""test_id"": ""LT-TEXT-ML-IP"", ""category"": ""text"", ""old_type"": ""MEDIUMTEXT"", ""new_type"": ""LONGTEXT"", ""algorithm"": ""INPLACE"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 1946709309)"", ""t2"": ""('ddl_test.t_large_oracle', 1946709309)""}, ""ddl"": {""success"": false, ""duration"": 0.13, ""error"": ""(1846, 'ALGORITHM=INPLACE is not supported. Reason: Cannot change column type INPLACE. Try ALGORITHM=COPY.')"", ""algorithm"": ""INPLACE""}, ""dml_ops"": 880, ""dml_errors"": 0, """
LT-TEXT-ML-IT,text,MEDIUMTEXT,LONGTEXT,INSTANT,,100000,0.04,911,0,81.0,81.8,-1.0,PASS,"{""test_id"": ""LT-TEXT-ML-IT"", ""category"": ""text"", ""old_type"": ""MEDIUMTEXT"", ""new_type"": ""LONGTEXT"", ""algorithm"": ""INSTANT"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 1946709309)"", ""t2"": ""('ddl_test.t_large_oracle', 1946709309)""}, ""ddl"": {""success"": false, ""duration"": 0.04, ""error"": ""(1846, 'ALGORITHM=INSTANT is not supported. Reason: Need to rebuild the table to change column type. Try ALGORITHM=COPY/INPLACE.')"", ""algorithm"": ""INSTANT""}, ""dml_ops"": 9"
LT-BLOB-B-IP,blob,TINYBLOB,BLOB,INPLACE,,100000,0.04,940,0,82.2,79.6,3.2,PASS,"{""test_id"": ""LT-BLOB-B-IP"", ""category"": ""blob"", ""old_type"": ""TINYBLOB"", ""new_type"": ""BLOB"", ""algorithm"": ""INPLACE"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 4187795770)"", ""t2"": ""('ddl_test.t_large_oracle', 4187795770)""}, ""ddl"": {""success"": false, ""duration"": 0.04, ""error"": ""(1846, 'ALGORITHM=INPLACE is not supported. Reason: Cannot change column type INPLACE. Try ALGORITHM=COPY.')"", ""algorithm"": ""INPLACE""}, ""dml_ops"": 940, ""dml_errors"": 0, ""dml_bre"
LT-BLOB-B-IT,blob,TINYBLOB,BLOB,INSTANT,,100000,0.04,990,0,85.5,0,100.0,PASS,"{""test_id"": ""LT-BLOB-B-IT"", ""category"": ""blob"", ""old_type"": ""TINYBLOB"", ""new_type"": ""BLOB"", ""algorithm"": ""INSTANT"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 4187795770)"", ""t2"": ""('ddl_test.t_large_oracle', 4187795770)""}, ""ddl"": {""success"": false, ""duration"": 0.04, ""error"": ""(1846, 'ALGORITHM=INSTANT is not supported. Reason: Need to rebuild the table to change column type. Try ALGORITHM=COPY/INPLACE.')"", ""algorithm"": ""INSTANT""}, ""dml_ops"": 990, ""dm"
LT-BLOB-MB-IP,blob,BLOB,MEDIUMBLOB,INPLACE,,100000,0.04,911,0,75.5,86.4,-14.4,PASS,"{""test_id"": ""LT-BLOB-MB-IP"", ""category"": ""blob"", ""old_type"": ""BLOB"", ""new_type"": ""MEDIUMBLOB"", ""algorithm"": ""INPLACE"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 4187795770)"", ""t2"": ""('ddl_test.t_large_oracle', 4187795770)""}, ""ddl"": {""success"": false, ""duration"": 0.04, ""error"": ""(1846, 'ALGORITHM=INPLACE is not supported. Reason: Cannot change column type INPLACE. Try ALGORITHM=COPY.')"", ""algorithm"": ""INPLACE""}, ""dml_ops"": 911, ""dml_errors"": 0, ""dml_"
LT-BLOB-MB-IT,blob,BLOB,MEDIUMBLOB,INSTANT,,100000,0.04,978,0,85.7,76.5,10.7,PASS,"{""test_id"": ""LT-BLOB-MB-IT"", ""category"": ""blob"", ""old_type"": ""BLOB"", ""new_type"": ""MEDIUMBLOB"", ""algorithm"": ""INSTANT"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 4187795770)"", ""t2"": ""('ddl_test.t_large_oracle', 4187795770)""}, ""ddl"": {""success"": false, ""duration"": 0.04, ""error"": ""(1846, 'ALGORITHM=INSTANT is not supported. Reason: Need to rebuild the table to change column type. Try ALGORITHM=COPY/INPLACE.')"", ""algorithm"": ""INSTANT""}, ""dml_ops"": 978, "
LT-BLOB-ML-IP,blob,MEDIUMBLOB,LONGBLOB,INPLACE,,100000,0.03,950,0,81.1,0,100.0,PASS,"{""test_id"": ""LT-BLOB-ML-IP"", ""category"": ""blob"", ""old_type"": ""MEDIUMBLOB"", ""new_type"": ""LONGBLOB"", ""algorithm"": ""INPLACE"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 4187795770)"", ""t2"": ""('ddl_test.t_large_oracle', 4187795770)""}, ""ddl"": {""success"": false, ""duration"": 0.03, ""error"": ""(1846, 'ALGORITHM=INPLACE is not supported. Reason: Cannot change column type INPLACE. Try ALGORITHM=COPY.')"", ""algorithm"": ""INPLACE""}, ""dml_ops"": 950, ""dml_errors"": 0, """
LT-BIT1-8-IP,bit,BIT(1),BIT(8),INPLACE,,100000,0.06,1091,98,94.2,108.9,-15.6,PASS,"{""test_id"": ""LT-BIT1-8-IP"", ""category"": ""bit"", ""old_type"": ""BIT(1)"", ""new_type"": ""BIT(8)"", ""algorithm"": ""INPLACE"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 4135713716)"", ""t2"": ""('ddl_test.t_large_oracle', 4135713716)""}, ""ddl"": {""success"": false, ""duration"": 0.06, ""error"": ""(1846, 'ALGORITHM=INPLACE is not supported. Reason: Cannot change column type INPLACE. Try ALGORITHM=COPY.')"", ""algorithm"": ""INPLACE""}, ""dml_ops"": 1091, ""dml_errors"": 98, ""dml_br"
LT-BIT1-8-IT,bit,BIT(1),BIT(8),INSTANT,,100000,0.04,967,74,87.4,95.9,-9.7,PASS,"{""test_id"": ""LT-BIT1-8-IT"", ""category"": ""bit"", ""old_type"": ""BIT(1)"", ""new_type"": ""BIT(8)"", ""algorithm"": ""INSTANT"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 901132901)"", ""t2"": ""('ddl_test.t_large_oracle', 901132901)""}, ""ddl"": {""success"": false, ""duration"": 0.04, ""error"": ""(1846, 'ALGORITHM=INSTANT is not supported. Reason: Need to rebuild the table to change column type. Try ALGORITHM=COPY/INPLACE.')"", ""algorithm"": ""INSTANT""}, ""dml_ops"": 967, ""dml_e"
LT-BIT8-16-IP,bit,BIT(8),BIT(16),INPLACE,,100000,0.04,1075,93,101.2,108.8,-7.5,PASS,"{""test_id"": ""LT-BIT8-16-IP"", ""category"": ""bit"", ""old_type"": ""BIT(8)"", ""new_type"": ""BIT(16)"", ""algorithm"": ""INPLACE"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 286809886)"", ""t2"": ""('ddl_test.t_large_oracle', 4008728815)""}, ""ddl"": {""success"": false, ""duration"": 0.04, ""error"": ""(1846, 'ALGORITHM=INPLACE is not supported. Reason: Cannot change column type INPLACE. Try ALGORITHM=COPY.')"", ""algorithm"": ""INPLACE""}, ""dml_ops"": 1075, ""dml_errors"": 93, ""dml_b"
LT-BIT8-16-IT,bit,BIT(8),BIT(16),INSTANT,,100000,0.04,987,96,90.3,95.3,-5.5,PASS,"{""test_id"": ""LT-BIT8-16-IT"", ""category"": ""bit"", ""old_type"": ""BIT(8)"", ""new_type"": ""BIT(16)"", ""algorithm"": ""INSTANT"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 3231789678)"", ""t2"": ""('ddl_test.t_large_oracle', 2457122331)""}, ""ddl"": {""success"": false, ""duration"": 0.04, ""error"": ""(1846, 'ALGORITHM=INSTANT is not supported. Reason: Need to rebuild the table to change column type. Try ALGORITHM=COPY/INPLACE.')"", ""algorithm"": ""INSTANT""}, ""dml_ops"": 987, ""d"
LT-BIT16-32-IP,bit,BIT(16),BIT(32),INPLACE,,100000,0.04,1096,96,97.7,104.0,-6.4,PASS,"{""test_id"": ""LT-BIT16-32-IP"", ""category"": ""bit"", ""old_type"": ""BIT(16)"", ""new_type"": ""BIT(32)"", ""algorithm"": ""INPLACE"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 4008728815)"", ""t2"": ""('ddl_test.t_large_oracle', 3245979878)""}, ""ddl"": {""success"": false, ""duration"": 0.04, ""error"": ""(1846, 'ALGORITHM=INPLACE is not supported. Reason: Cannot change column type INPLACE. Try ALGORITHM=COPY.')"", ""algorithm"": ""INPLACE""}, ""dml_ops"": 1096, ""dml_errors"": 96, ""dm"
LT-BIT16-32-IT,bit,BIT(16),BIT(32),INSTANT,,100000,0.03,909,107,79.6,84.8,-6.5,PASS,"{""test_id"": ""LT-BIT16-32-IT"", ""category"": ""bit"", ""old_type"": ""BIT(16)"", ""new_type"": ""BIT(32)"", ""algorithm"": ""INSTANT"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 2457122331)"", ""t2"": ""('ddl_test.t_large_oracle', 3002133252)""}, ""ddl"": {""success"": false, ""duration"": 0.03, ""error"": ""(1846, 'ALGORITHM=INSTANT is not supported. Reason: Need to rebuild the table to change column type. Try ALGORITHM=COPY/INPLACE.')"", ""algorithm"": ""INSTANT""}, ""dml_ops"": 909, "
LT-BIT32-64-IP,bit,BIT(32),BIT(64),INPLACE,,100000,0.04,1095,82,92.3,102.0,-10.5,PASS,"{""test_id"": ""LT-BIT32-64-IP"", ""category"": ""bit"", ""old_type"": ""BIT(32)"", ""new_type"": ""BIT(64)"", ""algorithm"": ""INPLACE"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 3245979878)"", ""t2"": ""('ddl_test.t_large_oracle', 3376796811)""}, ""ddl"": {""success"": false, ""duration"": 0.04, ""error"": ""(1846, 'ALGORITHM=INPLACE is not supported. Reason: Cannot change column type INPLACE. Try ALGORITHM=COPY.')"", ""algorithm"": ""INPLACE""}, ""dml_ops"": 1095, ""dml_errors"": 82, ""dm"
LT-BIT32-64-IT,bit,BIT(32),BIT(64),INSTANT,,100000,0.04,999,77,87.5,98.1,-12.1,PASS,"{""test_id"": ""LT-BIT32-64-IT"", ""category"": ""bit"", ""old_type"": ""BIT(32)"", ""new_type"": ""BIT(64)"", ""algorithm"": ""INSTANT"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 3002133252)"", ""t2"": ""('ddl_test.t_large_oracle', 3528667133)""}, ""ddl"": {""success"": false, ""duration"": 0.04, ""error"": ""(1846, 'ALGORITHM=INSTANT is not supported. Reason: Need to rebuild the table to change column type. Try ALGORITHM=COPY/INPLACE.')"", ""algorithm"": ""INSTANT""}, ""dml_ops"": 999, "
